# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1733.469     9311.020
       0.501        0.000     1733.469     9311.020
       1.002        4.000     1733.484     9311.020
       1.504       10.000     1733.484     9311.020
       2.005        6.000     1733.484     9311.020
       2.507       20.000     1733.535     9311.020
       3.008      115.800     1660.996     9247.020
       3.509      101.800     1829.277     9465.223
       4.010       99.800     1845.520     9465.223
       4.511       99.800     1858.152     9465.223
       5.012      101.800     1863.566     9465.223
       5.513       99.800     1829.281     9541.320
       6.014      101.800     1876.695     9541.320
       6.514      263.500     2071.418    11547.941
       7.015      393.300     2347.938    11547.941
       7.516      362.800     2510.867    11547.941
       8.018      379.000     2763.258    11547.941
       8.519      383.300     2953.773    11547.941
       9.020      375.200     3132.652    11547.941
       9.521      391.300     3387.113    11547.941
      10.022      381.300     3613.988    11547.941
      10.523      331.400     3854.262    11547.941
      11.024      375.200     3880.301    11547.941
      11.525      387.200     3735.227    11324.723
      12.026      143.700     1865.895     9529.223
      12.527      101.800     1884.457     9529.223
      13.028       99.800     1897.090     9529.223
      13.529       99.800     1899.668     9529.223
      14.030      101.800     1900.809     9541.320
      14.531       99.800     1909.090     9544.871
      15.032      381.300     2183.180    11547.941
      15.533      387.000     2427.426    11547.941
      16.034      371.200     2607.805    11547.941
      16.535      373.300     2795.211    11547.941
      17.036      369.100     3017.930    11547.941
      17.538      395.100     3222.117    11547.941
      18.039      391.300     3463.688    11547.941
      18.539      363.300     3675.820    11547.941
      19.040      343.200     3892.895    11547.941
      19.542      387.200     3892.895    11547.941
      20.043      333.400     1734.000     9311.020
      20.543       99.800     1872.699     9529.223
      21.044       99.800     1890.488     9529.223
      21.545       99.800     1900.285     9529.223
      22.046      101.800     1818.434     9506.047
      22.547       99.800     1851.691     9506.047
      23.048      221.500     2040.176    11547.941
      23.549      391.300     2304.043    11547.941
      24.050      371.200     2488.914    11547.941
      24.551      382.900     2713.438    11547.941
      25.053      379.300     2901.359    11547.941
      25.554      369.400     3062.203    11547.941
      26.054      387.200     3306.867    11547.941
      26.556      385.000     3544.570    11547.941
      27.057      339.300     3866.266    11547.941
      27.558      369.200     3892.562    11547.941
      28.059      383.300     3747.504    11324.723
      28.560      237.500     1865.539     9529.223
      29.061       99.800     1880.750     9529.223
      29.562      101.800     1894.672     9529.223
      30.063       99.800     1900.086     9529.223
      30.564       99.800     1900.992     9541.320
      31.065       99.800     1850.754     9544.871
      31.566      331.400     2150.719    11547.941
      32.067      393.300     2400.527    11547.941
      32.568      367.300     2558.102    11547.941
      33.069      373.200     2775.414    11547.941
      33.570      377.000     3012.859    11547.941
      34.071      387.200     3160.812    11547.941
      34.572      389.200     3405.219    11547.941
      35.073      381.300     3610.695    11547.941
      35.574      333.300     3871.785    11547.941
      36.075      377.100     3892.668    11547.941
      36.576      387.000     3747.465    11324.723
      37.077      125.700     1867.820     9529.223
      37.578       99.800     1886.898     9529.223
      38.079       99.800     1899.016     9529.223
      38.580       99.800     1900.047     9529.223
      39.081      103.800     1806.340     9383.598
      39.582      147.700     1972.367    11547.941
      40.083      393.300     2238.039    11547.941
      40.584      377.300     2459.816    11547.941
      41.085      379.300     2647.703    11547.941
      41.586      375.300     2831.750    11547.941
      42.087      367.300     3017.867    11547.941
      42.588      397.100     3254.020    11547.941
      43.089      387.300     3492.238    11547.941
      43.590      363.300     3675.500    11547.941
      44.091      349.100     3892.836    11547.941
      44.592      369.200     3747.637    11324.723
      45.093      323.400     1737.281     9447.598
      45.594       99.800     1874.180     9529.223
      46.095      101.800     1891.453     9529.223
      46.596       97.800     1900.219     9529.223
      47.097      101.800     1818.617     9506.047
      47.598      101.800     1901.090     9541.320
      48.099      251.600     2068.973    11547.941
      48.600      395.300     2327.156    11547.941
      49.101      359.300     2523.086    11547.941
      49.602      387.400     2737.070    11547.941
      50.102      381.300     2905.137    11547.941
      50.603      367.300     3062.348    11547.941
      51.104      389.300     3306.754    11547.941
      51.605      383.200     3544.457    11547.941
      52.106      345.300     3816.910    11547.941
      52.607      361.300     3892.449    11547.941
      53.108      385.100     3747.434    11324.723
      53.610      261.500     1865.469     9529.223
      54.111      101.800     1878.875     9529.223
      54.611       99.800     1893.570     9529.223
      55.112       99.800     1900.016     9529.223
      55.613      101.800     1900.910     9541.320
      56.114       99.800     1874.883     9527.246
      56.615      315.400     2121.219    11547.941
      57.116      391.200     2382.898    11547.941
      57.617      360.900     2523.145    11547.941
      58.119      377.000     2775.270    11547.941
      58.620      387.200     2959.855    11547.941
      59.121      371.000     3103.668    11547.941
      59.623      391.200     3337.246    11547.941
      60.124      379.200     3544.527    11547.941
      60.625      340.900     3866.488    11547.941
      61.126      365.100     3892.785    11547.941
      61.627      384.900     3747.539    11324.723
      62.129      199.400     1733.930     9311.020
      62.631        4.000     1733.930     9311.020
      63.133        2.000     1733.930     9311.020
      63.634        0.000     1733.930     9311.020
      64.136        0.000     1733.930     9311.020
      64.638        2.000     1733.930     9311.020
      65.140        0.000     1733.930     9311.020
      65.641        0.000     1733.930     9311.020
      66.143        2.000     1733.930     9311.020
      66.644        0.000     1733.930     9311.020
      67.146        0.000     1733.930     9311.020
      67.648        2.000     1733.930     9311.020
      68.149        2.000     1733.930     9311.020
      68.651        0.000     1733.930     9311.020
      69.153        0.000     1733.930     9311.020
      69.654        4.000     1733.930     9311.020
      70.155        0.000     1733.930     9311.020
      70.657        0.000     1733.930     9311.020
      71.158        2.000     1733.930     9311.020
      71.660        0.000     1733.930     9311.020
      72.161        0.000     1733.930     9311.020
      72.663        2.000     1733.930     9311.020
      73.164        0.000     1733.930     9311.020
      73.666        0.000     1733.930     9311.020
      74.168        0.000     1733.930     9311.020
      74.670        4.000     1733.930     9311.020
      75.172        0.000     1733.930     9311.020
