# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1393.852     8609.461
       0.501        0.000     1393.852     8609.461
       1.003        0.000     1393.852     8609.461
       1.503        0.000     1393.852     8609.461
       2.004        2.000     1393.852     8609.461
       2.505        6.000     1393.852     8609.461
       3.006        4.000     1393.938     8609.461
       3.507       43.900     1431.062     8646.219
       4.008      111.800     1503.598     8731.367
       4.509      101.800     1516.488     8731.367
       5.010       99.800     1548.848     8802.652
       5.511      375.300     1786.289    10558.043
       6.011      367.700     1978.613    10558.043
       6.512      383.300     2242.871    10558.043
       7.013      329.400     2322.277    10558.043
       7.514      329.300     2417.148    10558.043
       8.015      363.400     2567.195    10558.043
       8.516      381.300     2797.938    10558.043
       9.017      373.300     2997.742    10558.043
       9.517      321.300     3067.867    10558.043
      10.019      307.400     3222.039    10558.043
      10.519      375.300     3295.254    10558.043
      11.020      389.300     3194.844    10409.828
      11.521      211.600     1549.473     8781.547
      12.022       99.800     1566.488     8781.547
      12.523      191.700     1514.305     8802.652
      13.024      445.200     1735.402    10558.043
      13.525      371.300     1923.090    10558.043
      14.026      391.300     2116.965    10558.043
      14.527      387.400     2269.016    10558.043
      15.028      413.200     2351.551    10558.043
      15.528      345.400     2463.695    10558.043
      16.029      377.300     2668.656    10558.043
      16.530      379.300     2877.742    10558.043
      17.031      353.600     3016.445    10558.043
      17.532      323.400     3099.715    10558.043
      18.033      329.300     3288.949    10558.043
      18.534      379.100     3298.230    10558.043
      19.035      387.300     2970.137    10409.828
      19.536       99.800     1563.922     8781.547
      20.037       99.800     1528.086     8765.895
      20.538      159.700     1621.859    10558.043
      21.038      379.500     1855.418    10558.043
      21.539      381.500     2083.840    10558.043
      22.040      371.300     2290.324    10558.043
      22.541      329.500     2385.434    10558.043
      23.042      329.400     2442.668    10558.043
      23.542      375.300     2640.152    10558.043
      24.043      381.500     2863.418    10558.043
      24.544      353.400     3042.855    10558.043
      25.045      317.200     3128.191    10558.043
      25.546      335.300     3289.840    10558.043
      26.047      387.500     3298.090    10558.043
      26.548      391.200     3197.461    10409.828
      27.049      163.700     1560.340     8781.547
      27.550       97.800     1529.141     8765.895
      28.051      155.700     1596.684    10558.043
      28.552      377.200     1788.941    10558.043
      29.053      367.300     1970.926    10558.043
      29.554      389.300     2216.105    10558.043
      30.055      329.400     2324.883    10558.043
      30.556      333.300     2388.559    10558.043
      31.057      359.400     2532.160    10558.043
      31.557      373.300     2731.191    10558.043
      32.058      381.300     2920.684    10558.043
      32.559      347.200     3042.887    10558.043
      33.061      325.400     3128.480    10558.043
      33.561      325.400     3289.867    10558.043
      34.062      379.200     3298.375    10558.043
      34.563      393.400     3197.590    10409.828
      35.064      159.700     1557.633     8781.547
      35.565       99.800     1569.234     8781.547
      36.066      139.800     1594.754    10558.043
      36.567      371.300     1817.332    10558.043
      37.068      391.300     1984.695    10558.043
      37.569      389.200     2154.594    10558.043
      38.070      347.300     2299.977    10558.043
      38.571      333.300     2388.387    10558.043
      39.072      347.300     2493.055    10558.043
      39.573      377.300     2685.898    10558.043
      40.074      377.300     2883.898    10558.043
      40.575      343.300     3042.969    10558.043
      41.076      315.300     3112.578    10558.043
      41.577      329.400     3289.688    10558.043
      42.078      383.100     3298.195    10558.043
      42.579      377.100     2553.594    10409.828
      43.080       99.800     1567.230     8781.547
      43.581       99.800     1537.793     8765.895
      44.082      167.700     1632.492    10568.957
      44.583      375.300     1832.184    10568.957
      45.084      393.100     2069.371    10568.957
      45.585      373.300     2279.988    10568.957
      46.086      325.400     2362.453    10568.957
      46.587      331.300     2430.707    10568.957
      47.088      359.400     2543.371    10568.957
      47.588      373.300     2692.129    10568.957
      48.089      373.600     2848.879    10568.957
      48.590      366.900     2994.285    10568.957
      49.092      317.300     3081.426    10568.957
      49.593      359.300     3139.434    10568.957
      50.094      333.300     3299.789    10568.957
      50.595      381.300     3308.555    10568.957
      51.096      395.100     3308.812    10568.957
      51.597      379.200     2911.516    10420.742
      52.098       99.800     1577.273     8792.461
      52.599       99.800     1548.629     8776.809
      53.100      231.400     1676.246    10568.957
      53.601      371.300     1846.141    10568.957
      54.102      381.300     2030.219    10568.957
      54.603      385.300     2205.531    10568.957
      55.104      333.400     2322.840    10568.957
      55.605      325.400     2399.379    10568.957
      56.106      333.400     2465.379    10568.957
      56.607      371.300     2631.668    10568.957
      57.108      381.200     2808.012    10568.957
      57.609      385.300     2966.309    10568.957
      58.110      341.400     3053.707    10568.957
      58.610      315.300     3139.301    10568.957
      59.112      331.100     3300.688    10568.957
      59.613      385.200     3309.195    10568.957
      60.114      391.200     3208.602    10420.742
      60.615      151.700     1495.172     8707.312
      61.116        0.000     1495.172     8707.312
      61.617        0.000     1495.172     8707.312
      62.117        0.000     1495.172     8707.312
      62.618        0.000     1495.172     8707.312
      63.119        2.000     1495.172     8707.312
