# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     3877.789    11509.988
       0.501        2.000     3877.789    11509.988
       1.003        4.000     3877.789    11509.988
       1.505        6.000     3877.789    11509.988
       2.006       11.900     3877.789    11509.988
       2.508       23.900     3877.789    11509.988
       3.010      279.300     3877.609    11476.969
       3.511      263.500     3877.609    11476.969
       4.012      275.500     3877.609    11476.969
       4.513      265.400     3877.609    11476.969
       5.014      283.500     3877.609    11476.969
       5.515      261.500     3877.609    11476.969
       6.016      191.500     3877.609    11476.969
       6.517        8.000     3877.609    11476.969
       7.019        2.000     3877.609    11476.969
       7.520       12.000     3877.609    11476.969
       8.022        2.000     3877.609    11476.969
       8.524        2.000     3877.609    11476.969
