# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      777.797     1193.824
       0.524        3.000      777.797     1193.824
       1.028       25.000      777.801     1193.824
       1.530       34.400      703.039     1120.297
       2.043      109.000      856.227     1317.785
       2.556      100.100      890.414     1317.785
       3.065      136.300      938.348     3112.895
       3.569      371.900     1198.059     3112.828
       4.075      378.100     1426.906     3112.828
       4.581      381.500     1646.988     3112.828
       5.087      353.100     1766.918     3112.828
       5.613      382.500     1994.656     3112.828
       6.119      400.000     2239.336     3112.828
       6.625      384.600     2417.641     3112.828
       7.132      331.200     2636.164     3112.828
       7.639      400.000     2645.520     3112.828
       8.146      336.800     1626.348     2923.777
       8.656       99.900      897.750     1325.113
       9.171      100.100      903.797     1365.672
       9.678      328.100     1131.363     3118.297
      10.184      381.200     1358.953     3118.297
      10.690      387.600     1615.074     3118.297
      11.196      353.100     1740.945     3118.297
      11.702      378.500     1898.512     3118.297
      12.208      393.800     2148.906     3118.297
      12.714      390.600     2395.629     3118.297
      13.221      342.800     2481.203     3118.297
      13.728      331.200     2650.680     3118.297
      14.230      362.500     2550.148     2975.262
      14.733      268.800      842.836     1325.113
      15.243       99.900      897.746     1325.082
      15.756      127.200      941.492     3118.266
      16.261      350.000     1194.551     3118.266
      16.766      376.200     1456.613     3118.266
      17.272      381.200     1677.555     3118.266
      17.779      321.900     1772.371     3118.266
      18.285      387.600     1988.242     3118.266
      18.790      400.000     2236.504     3118.266
      19.296      355.000     2423.094     3118.266
      19.801      359.400     2641.617     3118.266
      20.307      384.400     2650.973     3118.266
      20.814      348.200     2017.809     2929.215
      21.325      100.000      896.332     1325.078
      21.840       99.900      889.488     1336.020
      22.347      309.500     1123.816     3118.266
      22.852      403.100     1365.191     3118.266
      23.357      384.400     1610.730     3118.266
      23.862      384.600     1741.109     3118.266
      24.368      365.600     1898.508     3118.266
      24.893      403.100     2171.992     3118.266
      25.399      365.600     2379.074     3118.266
      25.905      342.200     2499.594     3118.266
      26.411      362.500     2650.660     3118.266
      26.917      381.200     2550.129     2975.230
      27.424      254.900      807.145     1267.098
      27.931      100.000      897.746     1325.078
      28.437      109.000      913.305     3118.266
      28.943      375.000     1169.367     3118.266
      29.462      375.500     1235.961     3118.266
      29.980      330.700     1356.457     3118.266
      30.495      360.300     1486.852     3118.266
      30.996      353.100     1609.730     3118.266
      31.515      370.800     1704.438     3118.266
      32.021      368.800     1859.102     3118.266
      32.527      390.600     2065.406     3118.266
      33.033      390.600     2285.055     3118.266
      33.538      350.000     2384.398     3118.266
      34.045      334.400     2574.773     3118.266
      34.550      400.500     2583.039     3118.266
      35.056      381.200     2482.195     2975.230
      35.568      121.100      823.984     1330.543
      36.082       99.900      835.988     1341.484
      36.591      246.900      988.438     3123.730
      37.106      358.000     1202.977     3123.730
      37.612      384.600     1415.320     3123.730
      38.118      365.600     1589.965     3123.730
      38.624      357.300     1678.633     3123.730
      39.130      371.900     1822.371     3123.730
      39.635      368.800     2012.234     3123.730
      40.140      385.300     2218.918     3123.730
      40.646      343.800     2360.617     3123.730
      41.153      318.800     2555.793     3123.730
      41.659      390.600     2588.496     3123.730
      42.165      387.500     2487.652     2980.699
      42.674      209.300      814.164     1330.551
      43.184      100.000      835.270     1330.551
      43.695      154.400      909.480     3123.734
      44.200      387.500     1146.605     3123.734
      44.705      384.600     1355.215     3123.734
      45.212      371.900     1559.477     3123.734
      45.718      339.800     1678.465     3123.734
      46.225      359.400     1793.141     3123.734
      46.729      346.900     2001.680     3123.734
      47.234      405.800     2186.262     3123.734
      47.740      375.000     2333.152     3123.734
      48.245      315.600     2496.520     3123.734
      48.750      372.500     2588.496     3123.734
      49.256      381.200     2487.652     2980.699
      49.765      169.900      712.031     1196.027
      50.289        6.100      712.215     1196.027
      50.799        0.000      712.215     1196.027
      51.307        0.000      712.215     1196.027
      51.810        0.000      712.215     1196.027
      52.313        0.000      712.215     1196.027
      52.815        3.100      712.215     1196.027
      53.329        0.000      712.215     1196.027
      53.831        0.000      712.215     1196.027
      54.334        0.000      712.215     1196.027
      54.839        0.000      712.215     1196.027
