# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000      994.172     1037.754
       0.007        0.000      994.172     1037.754
       0.008        0.000      994.172     1037.754
       0.008        0.000      994.172     1037.754
       0.008      208.300      994.172     1037.754
       0.020        0.000      994.172     1037.754
       0.024        0.000      994.172     1037.754
       0.024        0.000      994.172     1037.754
       0.024        0.000      994.172     1037.754
       0.024        0.000      994.172     1037.754
       0.039        0.000      994.172     1037.754
       0.040        0.000      994.172     1037.754
       0.040        0.000      994.172     1037.754
       0.040      104.200      994.172     1037.754
       0.054        0.000      994.172     1037.754
       0.055        0.000      994.172     1037.754
       0.055        0.000      994.172     1037.754
       0.055        0.000      994.172     1037.754
       0.055       97.700      994.172     1037.754
       0.072        0.000      994.172     1037.754
       0.072        0.000      994.172     1037.754
       0.072        0.000      994.172     1037.754
       0.072        0.000      994.172     1037.754
       0.072       97.700      994.172     1037.754
       0.088        0.000      994.172     1037.754
       0.088        0.000      994.172     1037.754
       0.088        0.000      994.172     1037.754
       0.088        0.000      994.172     1037.754
       0.088      100.800      994.172     1037.754
       0.104        0.000      994.172     1037.754
       0.104        0.000      994.172     1037.754
       0.104        0.000      994.172     1037.754
       0.104        0.000      994.172     1037.754
       0.119       97.700      994.172     1037.754
       0.120        0.000      994.172     1037.754
       0.120        0.000      994.172     1037.754
       0.120        0.000      994.172     1037.754
       0.120      104.200      994.172     1037.754
       0.135        0.000      994.172     1037.754
       0.136        0.000      994.172     1037.754
       0.136        0.000      994.172     1037.754
       0.136        0.000      994.172     1037.754
       0.136        0.000      994.172     1037.754
       0.136       97.700      994.172     1037.754
       0.154        0.000      994.172     1037.754
       0.154        0.000      994.172     1037.754
       0.154        0.000      994.172     1037.754
       0.154        0.000      994.172     1037.754
       0.154      104.200      994.172     1037.754
       0.170        0.000      994.172     1037.754
       0.170        0.000      994.172     1037.754
       0.170        0.000      994.172     1037.754
       0.170        0.000      994.172     1037.754
       0.170        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.186        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.204        0.000      994.172     1037.754
       0.220        0.000      994.172     1037.754
       0.221        0.000      994.172     1037.754
