# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000      993.609     1090.543
       0.123       71.000      993.613     1090.543
       0.225       28.700      993.613     1090.543
       0.339       14.300      993.613     1090.543
       0.441        0.000      993.617     1090.543
       0.556       43.000      993.617     1090.543
       0.683       37.500      993.617     1090.543
       0.790       14.300      993.617     1090.543
       0.901       42.600      993.621     1090.543
       1.006      143.300      989.059     1091.926
       1.122      156.300      999.680     1097.965
       1.238      137.500     1008.551     1135.551
       1.339      403.200     1030.977     1127.922
       1.455      175.000     1008.320     1135.551
       1.572      355.100     1030.977     1127.922
       1.689      186.400     1012.648     1135.551
       1.789      358.400     1030.977     1127.922
       1.905      142.000     1002.695     1135.551
       2.022      325.000     1036.723     1135.551
       2.138       71.700      999.352     1101.238
       2.256      300.000     1036.723     1135.551
       2.372      326.700      999.523     1097.965
       2.489      100.000     1004.477     1135.551
       2.605      344.000     1034.965     1135.551
       2.722      287.500      999.672     1097.965
       2.839       71.700     1006.805     1135.551
       2.954      300.000     1036.242     1135.484
       3.072      269.900     1000.449     1097.898
       3.188      137.500     1010.285     1135.484
       3.317      287.500     1036.688     1135.484
       3.422      235.200     1000.398     1097.898
       3.537      175.000     1008.961     1135.484
       3.638      249.300     1036.203     1135.484
       3.755      262.500      999.746     1097.898
       3.871       99.400     1007.348     1135.484
       3.987      200.000     1036.242     1135.484
       4.105      272.400     1000.246     1097.898
       4.220      162.500     1008.961     1135.484
       4.334      258.000     1036.434     1135.484
       4.438      249.300     1000.031     1097.898
       4.554      175.000     1006.035     1135.484
       4.671      301.000     1036.234     1135.484
       4.788      287.500     1000.496     1097.898
       4.903      142.000     1010.996     1135.484
       5.004      215.000     1036.242     1135.484
       5.105      299.200      999.578     1097.898
       5.223      100.000     1006.004     1135.484
       5.338      272.400     1036.203     1135.484
       5.454      212.500     1000.227     1097.898
       5.572      142.000     1009.852     1135.484
       5.673      229.400     1036.203     1135.484
       5.787      172.000     1000.086     1097.898
       5.905      142.000     1009.086     1135.484
       6.021      225.000     1036.688     1135.484
       6.138      243.700      994.590     1091.414
       6.255      125.000      996.656     1093.570
       6.371       42.600      996.656     1093.570
       6.488        0.000      996.656     1093.570
       6.605       57.300      996.656     1093.570
       6.721       12.500      996.656     1093.570
       6.838        0.000      996.656     1093.570
       6.954        0.000      996.656     1093.570
       7.054        0.000      996.656     1093.570
       7.171        0.000      996.656     1093.570
       7.271        0.000      996.656     1093.570
       7.385        0.000      996.656     1093.570
       7.504        0.000      996.656     1093.570
       7.621        0.000      996.656     1093.570
       7.737        0.000      996.656     1093.570
       7.837        0.000      996.656     1093.570
       7.954        0.000      996.656     1093.570
       8.071        0.000      996.656     1093.570
       8.187        0.000      996.656     1093.570
