# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1533.973     8780.719
       0.501        2.000     1533.973     8780.719
       1.003        2.000     1533.973     8780.719
       1.505        0.000     1533.973     8780.719
       2.007        2.000     1533.973     8780.719
       2.508        2.000     1533.973     8780.719
       3.010        6.000     1533.973     8780.719
       3.512        6.000     1533.973     8780.719
       4.013       85.800     1533.938     8780.719
       4.514      127.700     1609.199     8865.867
       5.015      101.800     1619.254     8865.867
       5.516      123.700     1630.477    10642.363
       6.018      379.200     1891.973    10642.363
       6.519      393.300     2192.324    10642.363
       7.019      367.300     2375.207    10642.363
       7.520      365.400     2514.391    10642.363
       8.021      383.300     2787.414    10642.363
       8.522      389.100     3050.641    10642.363
       9.023      363.200     3178.773    10642.363
       9.524      355.000     3348.660    10642.363
      10.026      395.000     3210.090    10494.148
      10.527       99.800     1617.297     8865.867
      11.028      101.800     1588.391     8850.215
      11.529      229.600     1754.559    10642.363
      12.030      385.400     2027.434    10642.363
      12.531      387.200     2319.445    10642.363
      13.032      365.300     2438.969    10642.363
      13.533      383.000     2667.133    10642.363
      14.034      387.300     2943.766    10642.363
      14.535      369.100     3120.883    10642.363
      15.036      353.200     3348.266    10642.363
      15.537      383.100     3248.078    10494.148
      16.039      229.500     1603.480     8865.867
      16.539      101.800     1619.723     8865.867
      17.040      105.800     1615.078    10642.363
      17.541      385.300     1902.816    10642.363
      18.042      391.200     2200.590    10642.363
      18.543      367.100     2402.047    10642.363
      19.044      379.200     2548.977    10642.363
      19.545      383.300     2822.516    10642.363
      20.046      381.200     3066.664    10642.363
      20.548      355.100     3243.777    10642.363
      21.049      365.200     3348.699    10642.363
      21.550      365.100     1732.699    10494.148
      22.051       99.800     1619.656     8865.867
      22.552       99.800     1567.320     8813.457
      23.053      265.400     1791.238    10642.363
      23.555      385.000     2057.227    10642.363
      24.055      383.200     2319.609    10642.363
      24.557      360.700     2470.016    10642.363
      25.059      386.900     2680.648    10642.363
      25.560      391.300     2962.953    10642.363
      26.061      362.900     3150.125    10642.363
      26.562      355.200     3348.371    10642.363
      27.063      383.000     3247.934    10494.148
      27.565      223.500     1603.852     8865.867
      28.066      101.800     1619.578     8865.867
      28.566      113.800     1622.156    10642.363
      29.067      385.300     1912.773    10642.363
      29.569      393.000     2198.172    10642.363
      30.070      365.200     2401.703    10642.363
      30.571      377.300     2542.406    10642.363
      31.072      387.300     2804.859    10642.363
      31.572      383.300     3066.797    10642.363
      32.074      360.800     3178.926    10642.363
      32.575      357.100     3348.566    10642.363
      33.076      391.000     3247.875    10494.148
      33.578      103.800     1616.984     8865.867
      34.079      101.800     1588.293     8850.215
      34.580      229.600     1752.668    10642.363
      35.081      385.300     2018.148    10642.363
      35.582      387.300     2295.547    10642.363
      36.082      361.200     2438.961    10642.363
      36.584      381.200     2636.695    10642.363
      37.085      391.300     2916.164    10642.363
      37.586      367.000     3120.867    10642.363
      38.087      339.100     3339.211    10642.363
      38.588      385.100     3348.750    10642.363
      39.090      353.200     1534.551     8780.719
      39.591      101.800     1619.625     8865.867
      40.091       99.800     1567.289     8850.215
      40.592      289.500     1786.816    10642.363
      41.093      419.200     2034.363    10642.363
      41.594      389.200     2317.172    10642.363
      42.095      381.300     2435.852    10642.363
      42.596      377.200     2540.328    10642.363
      43.097      379.300     2761.789    10642.363
      43.598      391.200     2996.141    10642.363
      44.099      355.300     3144.125    10642.363
      44.600      343.300     3340.559    10642.363
      45.101      385.100     3348.551    10642.363
      45.602      333.500     1534.582     8780.719
      46.104       25.900     1534.734     8780.719
      46.605        2.000     1534.734     8780.719
      47.107        2.000     1534.734     8780.719
      47.609        0.000     1534.734     8780.719
      48.111        0.000     1534.734     8780.719
      48.613        0.000     1534.734     8780.719
      49.115        2.000     1534.734     8780.719
      49.616        0.000     1534.734     8780.719
      50.118        0.000     1534.734     8780.719
      50.620        2.000     1534.734     8780.719
