# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000     3875.000    11485.969
       0.502        2.000     3875.000    11485.969
       1.004        2.000     3875.000    11485.969
       1.505       10.000     3875.000    11485.969
       2.007       10.000     3875.004    11485.969
       2.508        8.000     3875.004    11485.969
       3.010      133.600     3875.012    11485.969
       3.511      279.500     3875.012    11485.969
       4.012      251.500     3875.012    11485.969
       4.513      289.500     3875.012    11485.969
       5.014      263.500     3875.012    11485.969
       5.515      269.400     3875.012    11485.969
       6.016      283.500     3875.012    11485.969
       6.517       45.900     3875.012    11485.969
       7.018        2.000     3875.012    11485.969
       7.520        0.000     3875.012    11485.969
       8.022        2.000     3875.012    11485.969
       8.523        0.000     3875.012    11485.969
       9.024        2.000     3875.012    11485.969
       9.526        2.000     3875.012    11485.969
