# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.016        0.000      820.969     1170.082
       0.519        3.100      820.969     1170.082
       1.035       24.200      821.137     1170.082
       1.548       12.100      821.152     1170.082
       2.058      118.100      827.371     1175.941
       2.578      103.200      934.434     1294.059
       3.091       99.900      964.715     1334.617
       3.598      334.400     1178.949     3087.250
       4.103      390.600     1420.246     3087.180
       4.608      381.200     1658.605     3087.180
       5.115      350.000     1777.594     3087.180
       5.621      379.200     1957.547     3087.180
       6.126      375.000     2220.766     3087.180
       6.632      363.400     2432.281     3087.180
       7.138      356.200     2569.656     3087.180
       7.645      353.100     2687.625     3087.180
       8.151      369.400     2586.781     2944.145
       8.658      184.400      922.641     1300.465
       9.170      100.100      898.109     1284.781
       9.679      218.000     1064.480     3093.652
      10.185      381.200     1320.742     3093.652
      10.690      390.600     1577.508     3093.652
      11.196      370.100     1746.320     3093.652
      11.702      362.500     1885.414     3093.652
      12.207      396.900     2106.289     3093.652
      12.713      390.600     2363.266     3093.652
      13.222      328.100     2494.465     3093.652
      13.723      356.200     2685.457     3093.652
      14.224      381.200     2586.801     2939.684
      14.730      308.900      906.676     2904.594
      15.241      100.100      939.879     1300.465
      15.752      100.000      913.652     1334.824
      16.258      363.400     1197.363     3093.652
      16.764      371.900     1458.105     3093.652
      17.270      371.900     1694.137     3093.652
      17.784      333.100     1814.219     3093.652
      18.297      382.300     1976.844     3093.652
      18.803      390.600     2222.215     3093.652
      19.310      337.500     2437.762     3093.652
      19.817      368.800     2543.629     3093.652
      20.323      355.000     2692.805     3093.652
      20.829      371.900     2592.266     2950.617
      21.357      152.700      928.680     1300.465
      21.871      100.100      940.602     1311.398
      22.381      245.300     1097.102     3093.652
      22.886      400.000     1317.578     3093.652
      23.393      390.600     1573.125     3093.652
      23.900      348.200     1746.340     3093.652
      24.407      362.500     1861.836     3093.652
      24.914      373.200     2091.043     3093.652
      25.421      400.000     2325.617     3093.652
      25.928      324.000     2485.395     3093.652
      26.436      350.000     2684.863     3093.656
      26.944      382.300     2693.129     3093.656
      27.452      325.000     1543.973     2904.598
      27.964       99.900      939.660     1300.469
      28.476       99.900      940.625     1311.406
      28.984      325.000     1146.926     3093.656
      29.490      382.300     1322.922     3093.656
      29.996      400.000     1530.020     3093.656
      30.503      371.900     1719.668     3093.656
      31.009      345.200     1814.531     3093.656
      31.516      384.400     1940.648     3093.625
      32.023      378.500     2136.254     3093.625
      32.530      381.200     2340.469     3093.625
      33.040      355.000     2465.234     3093.625
      33.541      340.600     2525.711     3093.625
      34.061      336.100     2692.801     3093.625
      34.568      381.200     2592.270     2950.590
      35.075      227.500      924.238     1305.902
      35.586       99.900      945.344     1305.902
      36.098      137.500     1001.055     3099.090
      36.603      381.500     1254.684     3099.090
      37.109      387.500     1484.500     3099.090
      37.614      359.400     1669.551     3099.090
      38.120      336.800     1788.586     3099.090
      38.626      368.800     1910.770     3099.090
      39.132      381.500     2111.754     3099.090
      39.638      400.000     2325.496     3099.090
      40.144      368.800     2470.691     3099.090
      40.651      336.100     2671.379     3099.090
      41.158      362.500     2698.266     3099.090
      41.666      391.400     2597.727     2956.059
      42.174      243.800      917.375     1305.906
      42.685       99.900      945.344     1305.906
      43.197      130.500      987.062     3099.102
      43.703      359.400     1233.879     3099.137
      44.210      399.700     1437.844     3099.137
      44.715      384.400     1645.527     3099.137
      45.222      334.400     1751.816     3099.137
      45.728      363.400     1872.297     3099.137
      46.234      390.600     2056.547     3099.137
      46.739      376.200     2269.645     3099.137
      47.266      357.300     2443.246     3099.137
      47.772      363.400     2528.809     3099.137
      48.278      328.100     2698.270     3099.137
      48.785      371.900     2597.746     2956.102
      49.291      285.200      824.125     1173.668
      49.808        9.100      825.246     1174.738
      50.315        0.000      825.246     1174.738
      50.823        0.000      825.246     1174.738
      51.327        0.000      825.246     1174.738
      51.834        0.000      825.246     1174.738
      52.338        0.000      825.246     1174.738
      52.840        0.000      825.246     1174.738
      53.346        0.000      825.246     1174.738
      53.849        0.000      825.246     1174.738
      54.354        0.000      825.246     1174.738
      54.856        0.000      825.246     1174.738
