# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      640.051     1060.359
       0.009        0.000      640.051     1060.359
       0.015        0.000      640.051     1060.359
       0.019        0.000      640.051     1060.359
       0.025        0.000      640.051     1060.359
       0.030        0.000      640.051     1060.359
       0.035        0.000      640.051     1060.359
       0.037        0.000      640.051     1060.359
       0.045        0.000      640.047     1060.359
       0.051        0.000      640.047     1060.359
       0.055        0.000      640.047     1060.359
       0.055        0.000      640.047     1060.359
       0.065        0.000      640.047     1060.359
       0.068        0.000      640.047     1060.359
       0.075        0.000      640.047     1060.359
       0.079        0.000      640.051     1060.359
       0.085        0.000      640.051     1060.359
       0.089        0.000      640.051     1060.359
       0.095        0.000      640.051     1060.359
       0.099        0.000      640.051     1060.359
       0.105        0.000      640.051     1060.359
       0.107        0.000      640.051     1060.359
       0.114        0.000      640.051     1060.359
       0.120        0.000      640.051     1060.359
       0.125        0.000      640.051     1060.359
       0.125        0.000      640.051     1060.359
       0.135        0.000      640.051     1060.359
       0.139        0.000      640.051     1060.359
       0.145        0.000      640.051     1060.359
       0.145        0.000      640.051     1060.359
       0.145        0.000      640.051     1060.359
       0.159        0.000      640.051     1060.359
       0.165        0.000      640.051     1060.359
       0.165        0.000      640.051     1060.359
       0.175        0.000      640.051     1060.359
       0.179        0.000      640.051     1060.359
       0.184        0.000      640.051     1060.359
       0.184        0.000      640.051     1060.359
       0.196        0.000      640.051     1060.359
       0.198        0.000      640.051     1060.359
       0.205        0.000      640.051     1060.359
       0.205        0.000      640.051     1060.359
       0.218        0.000      640.051     1060.359
       0.225        0.000      640.051     1060.359
       0.233        0.000      640.051     1060.359
       0.238        0.000      640.051     1060.359
       0.238        0.000      640.051     1060.359
       0.245        0.000      640.051     1060.359
       0.254        0.000      640.051     1060.359
       0.259        0.000      640.051     1060.359
       0.265        0.000      640.051     1060.359
       0.265        0.000      640.051     1060.359
       0.275        0.000      640.051     1060.359
       0.278        0.000      640.051     1060.359
       0.285        0.000      640.051     1060.359
       0.285        0.000      640.051     1060.359
       0.297        0.000      640.051     1060.359
       0.298        0.000      640.051     1060.359
       0.304        0.000      640.051     1060.359
       0.304        0.000      640.051     1060.359
       0.319        0.000      640.051     1060.359
       0.325        0.000      640.051     1060.359
       0.325        0.000      640.051     1060.359
       0.335        0.000      640.051     1060.359
       0.335        0.000      640.051     1060.359
       0.345        0.000      640.051     1060.359
       0.345        0.000      640.051     1060.359
       0.358        0.000      640.051     1060.359
       0.358        0.000      640.051     1060.359
       0.365        0.000      640.051     1060.359
       0.365        0.000      640.051     1060.359
       0.379        0.000      640.051     1060.359
       0.385        0.000      640.051     1060.359
       0.385        0.000      640.051     1060.359
       0.395        0.000      640.051     1060.359
       0.397       97.700      640.051     1060.359
       0.414        0.000      640.051     1060.359
       0.420        0.000      640.051     1060.359
       0.426        0.000      640.051     1060.359
       0.434      104.200      640.051     1060.359
       0.444       97.700      640.051     1060.359
       0.452        0.000      640.051     1060.359
       0.458        0.000      640.051     1060.359
       0.465        0.000      640.051     1060.359
       0.465      104.200      640.051     1060.359
       0.478        0.000      640.051     1060.359
       0.482        0.000      640.051     1060.359
       0.485        0.000      640.051     1060.359
       0.487        0.000      640.051     1060.359
       0.487        0.000      640.051     1060.359
       0.499        0.000      640.086     1060.359
       0.504        0.000      640.090     1060.359
       0.508      208.300      640.094     1060.359
       0.513        0.000      640.215     1060.422
       0.522        0.000      640.215     1060.422
       0.526       97.700      640.215     1060.422
       0.531        0.000      640.215     1060.422
       0.534        0.000      640.215     1060.422
       0.538        0.000      640.215     1060.422
       0.538        0.000      640.215     1060.422
       0.546        0.000      640.215     1060.422
       0.546        0.000      640.215     1060.422
       0.546        0.000      640.215     1060.422
       0.557        0.000      640.215     1060.422
       0.561        0.000      640.215     1060.422
       0.565        0.000      640.215     1060.422
       0.565        0.000      640.215     1060.422
       0.565        0.000      640.215     1060.422
       0.575        0.000      640.215     1060.422
       0.577        0.000      640.215     1060.422
       0.577        0.000      640.215     1060.422
       0.585        0.000      640.215     1060.422
       0.585        0.000      640.215     1060.422
       0.585        0.000      640.215     1060.422
       0.595        0.000      640.215     1060.422
       0.598        0.000      640.215     1060.422
       0.598        0.000      640.215     1060.422
       0.604        0.000      640.215     1060.422
       0.604        0.000      640.215     1060.422
       0.604        0.000      640.215     1060.422
       0.615        0.000      640.215     1060.422
       0.619        0.000      640.215     1060.422
       0.619        0.000      640.215     1060.422
       0.625        0.000      640.215     1060.422
       0.625        0.000      640.215     1060.422
       0.631        0.000      640.215     1060.422
       0.635      312.500      640.219     1060.422
       0.638        0.000      640.219     1060.422
       0.642        0.000      640.223     1060.422
       0.646        0.000      640.230     1060.422
       0.651      195.300      640.234     1060.422
       0.655        0.000      640.234     1060.422
       0.660        0.000      640.242     1060.422
       0.665        0.000      640.242     1060.422
       0.669       97.700      640.242     1060.422
       0.672        0.000      640.242     1060.422
       0.675        0.000      640.242     1060.422
       0.679        0.000      640.242     1060.422
       0.683      104.200      640.246     1060.422
       0.685        0.000      640.246     1060.422
       0.690        0.000      640.246     1060.422
       0.696        0.000      640.246     1060.422
       0.697        0.000      640.246     1060.422
       0.697        0.000      640.246     1060.422
       0.705        0.000      640.246     1060.422
       0.709        0.000      640.246     1060.422
       0.712        0.000      640.246     1060.422
       0.718        0.000      640.246     1060.422
       0.720        0.000      640.246     1060.422
       0.727        0.000      640.246     1060.422
       0.728        0.000      640.246     1060.422
       0.735        0.000      640.246     1060.422
       0.737        0.000      640.246     1060.422
       0.737        0.000      640.246     1060.422
       0.745        0.000      640.246     1060.422
       0.746        0.000      640.246     1060.422
       0.746        0.000      640.246     1060.422
       0.746        0.000      640.246     1060.422
       0.755        0.000      640.246     1060.422
       0.758        0.000      640.246     1060.422
       0.761        0.000      640.246     1060.422
       0.761        0.000      640.246     1060.422
       0.765        0.000      640.246     1060.422
       0.765        0.000      640.246     1060.422
       0.765        0.000      640.246     1060.422
       0.765        0.000      640.246     1060.422
       0.775        0.000      640.246     1060.422
       0.777        0.000      640.246     1060.422
       0.777        0.000      640.246     1060.422
       0.777        0.000      640.246     1060.422
       0.784        0.000      640.246     1060.422
       0.784        0.000      640.246     1060.422
       0.784        0.000      640.246     1060.422
       0.784        0.000      640.246     1060.422
       0.784        0.000      640.246     1060.422
       0.796        0.000      640.246     1060.422
       0.797        0.000      640.246     1060.422
       0.797        0.000      640.246     1060.422
       0.804        0.000      640.246     1060.422
       0.804        0.000      640.246     1060.422
       0.804        0.000      640.246     1060.422
       0.804        0.000      640.246     1060.422
       0.816        0.000      640.246     1060.422
       0.818        0.000      640.246     1060.422
       0.818        0.000      640.246     1060.422
       0.818        0.000      640.246     1060.422
       0.824        0.000      640.246     1060.422
       0.827        0.000      640.246     1060.422
       0.830        0.000      640.250     1060.422
       0.833        0.000      640.250     1060.422
       0.836        0.000      640.250     1060.422
       0.838        0.000      640.250     1060.422
       0.838      104.200      640.250     1060.422
       0.843        0.000      640.254     1060.422
       0.846        0.000      640.254     1060.422
       0.847        0.000      640.254     1060.422
       0.851        0.000      640.254     1060.422
       0.853        0.000      640.254     1060.422
       0.856        0.000      640.254     1060.422
       0.859        0.000      640.254     1060.422
       0.862        0.000      640.254     1060.422
       0.865        0.000      640.254     1060.422
       0.868        0.000      640.254     1060.422
       0.870        0.000      640.254     1060.422
       0.870        0.000      640.254     1060.422
       0.877        0.000      640.254     1060.422
       0.881        0.000      640.254     1060.422
       0.885      104.200      640.254     1060.422
       0.890        0.000      640.254     1060.422
       0.896        0.000      640.254     1060.422
       0.900        0.000      640.254     1060.422
       0.903        0.000      640.254     1060.422
       0.908        0.000      640.254     1060.422
       0.912        0.000      640.254     1060.422
       0.914        0.000      640.254     1060.422
       0.917       97.700      640.254     1060.422
       0.920        0.000      640.254     1060.422
       0.923        0.000      640.254     1060.422
       0.925        0.000      640.254     1060.422
       0.929        0.000      640.258     1060.422
       0.932        0.000      640.262     1060.422
       0.935      104.200      640.262     1060.422
       0.937        0.000      640.262     1060.422
       0.941        0.000      640.262     1060.422
       0.943        0.000      640.266     1060.422
       0.946        0.000      640.266     1060.422
       0.948        0.000      640.266     1060.422
       0.950        0.000      640.266     1060.422
       0.953        0.000      640.270     1060.422
       0.956        0.000      640.270     1060.422
       0.959        0.000      640.270     1060.422
       0.962        0.000      640.270     1060.422
       0.965        0.000      640.270     1060.422
       0.967        0.000      640.270     1060.422
       0.968        0.000      640.270     1060.422
       0.968        0.000      640.270     1060.422
       0.968        0.000      640.270     1060.422
       0.978        0.000      640.270     1060.422
       0.978        0.000      640.270     1060.422
       0.978        0.000      640.270     1060.422
       0.985        0.000      640.270     1060.422
       0.987        0.000      640.270     1060.422
       0.987        0.000      640.270     1060.422
       0.987        0.000      640.270     1060.422
       0.998        0.000      640.270     1060.422
       1.001        0.000      640.270     1060.422
       1.005        0.000      640.270     1060.422
       1.008        0.000      640.270     1060.422
       1.012        0.000      640.270     1060.422
       1.014        0.000      640.270     1060.422
       1.016        0.000      640.270     1060.422
       1.019        0.000      640.270     1060.422
       1.022        0.000      640.270     1060.422
       1.025        0.000      640.270     1060.422
       1.030        0.000      640.270     1060.422
       1.033        0.000      640.270     1060.422
       1.036        0.000      640.270     1060.422
       1.039        0.000      640.270     1060.422
       1.043        0.000      640.270     1060.422
       1.047        0.000      640.270     1060.422
       1.049        0.000      640.270     1060.422
       1.052        0.000      640.270     1060.422
       1.055        0.000      640.270     1060.422
       1.057        0.000      640.270     1060.422
       1.060        0.000      640.270     1060.422
       1.064        0.000      640.270     1060.422
       1.067        0.000      640.270     1060.422
       1.070        0.000      640.270     1060.422
       1.073        0.000      640.270     1060.422
       1.077        0.000      640.270     1060.422
       1.079        0.000      640.270     1060.422
       1.081        0.000      640.270     1060.422
       1.084        0.000      640.270     1060.422
       1.087        0.000      640.270     1060.422
       1.089        0.000      640.270     1060.422
       1.091        0.000      640.270     1060.422
       1.095        0.000      640.270     1060.422
       1.097        0.000      640.270     1060.422
       1.101        0.000      640.270     1060.422
       1.103        0.000      640.270     1060.422
       1.106        0.000      640.270     1060.422
       1.109        0.000      640.270     1060.422
       1.113        0.000      640.270     1060.422
       1.117        0.000      640.270     1060.422
       1.118        0.000      640.270     1060.422
       1.124        0.000      640.270     1060.422
       1.126        0.000      640.270     1060.422
       1.126        0.000      640.270     1060.422
       1.136        0.000      640.270     1060.422
       1.139        0.000      640.270     1060.422
       1.146        0.000      640.270     1060.422
       1.147        0.000      640.270     1060.422
       1.159        0.000      640.270     1060.422
       1.164        0.000      640.270     1060.422
       1.173        0.000      640.270     1060.422
       1.178        0.000      640.270     1060.422
       1.185        0.000      640.270     1060.422
       1.190        0.000      640.270     1060.422
       1.196        0.000      640.270     1060.422
       1.196        0.000      640.270     1060.422
       1.204        0.000      640.270     1060.422
       1.212        0.000      640.270     1060.422
       1.219        0.000      640.270     1060.422
       1.220        0.000      640.270     1060.422
       1.229        0.000      640.270     1060.422
       1.234        0.000      640.270     1060.422
       1.239        0.000      640.270     1060.422
       1.245        0.000      640.270     1060.422
       1.245        0.000      640.270     1060.422
       1.255        0.000      640.270     1060.422
       1.260        0.000      640.270     1060.422
       1.265        0.000      640.270     1060.422
       1.265        0.000      640.270     1060.422
       1.277        0.000      640.270     1060.422
       1.284        0.000      640.270     1060.422
       1.289        0.000      640.270     1060.422
       1.294        0.000      640.270     1060.422
       1.298        0.000      640.270     1060.422
       1.304        0.000      640.270     1060.422
       1.310        0.000      640.270     1060.422
       1.315        0.000      640.270     1060.422
       1.319        0.000      640.270     1060.422
       1.326        0.000      640.270     1060.422
       1.327        0.000      640.270     1060.422
       1.337        0.000      640.270     1060.422
       1.339        0.000      640.270     1060.422
       1.347        0.000      640.270     1060.422
       1.350        0.000      640.270     1060.422
       1.358        0.000      640.270     1060.422
       1.365        0.000      640.270     1060.422
       1.365        0.000      640.270     1060.422
       1.376        0.000      640.270     1060.422
       1.381        0.000      640.270     1060.422
       1.385        0.000      640.270     1060.422
       1.385        0.000      640.270     1060.422
       1.397        0.000      640.270     1060.422
       1.397        0.000      640.270     1060.422
       1.408        0.000      640.270     1060.422
       1.415        0.000      640.270     1060.422
       1.419        0.000      640.270     1060.422
       1.425        0.000      640.270     1060.422
       1.432        0.000      640.270     1060.422
       1.438        0.000      640.270     1060.422
       1.445        0.000      640.270     1060.422
       1.450        0.000      640.270     1060.422
       1.455        0.000      640.266     1060.422
       1.461        0.000      640.266     1060.422
       1.465        0.000      640.266     1060.422
       1.465        0.000      640.266     1060.422
       1.479        0.000      640.266     1060.422
       1.480        0.000      640.266     1060.422
       1.490        0.000      640.266     1060.422
       1.495        0.000      640.266     1060.422
       1.498        0.000      640.266     1060.422
       1.505        0.000      640.266     1060.422
       1.511        0.000      640.266     1060.422
       1.518        0.000      640.266     1060.422
       1.519        0.000      640.270     1060.422
       1.527        0.000      640.270     1060.422
       1.534        0.000      640.270     1060.422
       1.541        0.000      640.270     1060.422
       1.545        0.000      640.270     1060.422
       1.545        0.000      640.270     1060.422
       1.557        0.000      640.270     1060.422
       1.562        0.000      640.270     1060.422
       1.565        0.000      640.270     1060.422
       1.565        0.000      640.270     1060.422
       1.579        0.000      640.270     1060.422
       1.585        0.000      640.270     1060.422
       1.587        0.000      640.270     1060.422
       1.597        0.000      640.270     1060.422
       1.598        0.000      640.270     1060.422
       1.605        0.000      640.270     1060.422
       1.610        0.000      640.270     1060.422
       1.619        0.000      640.270     1060.422
       1.624        0.000      640.270     1060.422
       1.629        0.000      640.270     1060.422
       1.635        0.000      640.270     1060.422
       1.639        0.000      640.270     1060.422
       1.645        0.000      640.270     1060.422
       1.645        0.000      640.270     1060.422
       1.654        0.000      640.270     1060.422
       1.660        0.000      640.270     1060.422
       1.665        0.000      640.270     1060.422
       1.665        0.000      640.270     1060.422
       1.678        0.000      640.270     1060.422
       1.679        0.000      640.270     1060.422
       1.684        0.000      640.270     1060.422
       1.684        0.000      640.270     1060.422
       1.697        0.000      640.270     1060.422
       1.705        0.000      640.270     1060.422
       1.709        0.000      640.270     1060.422
       1.716        0.000      640.270     1060.422
       1.718        0.000      640.270     1060.422
       1.724        0.000      640.270     1060.422
       1.724        0.000      640.270     1060.422
       1.737        0.000      640.270     1060.422
       1.740        0.000      640.270     1060.422
       1.747        0.000      640.270     1060.422
       1.747        0.000      640.270     1060.422
       1.759        0.000      640.270     1060.422
