# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000      654.230     1062.711
       0.011        0.000      654.230     1062.711
       0.020        0.000      654.230     1062.711
       0.025        0.000      654.230     1062.711
       0.025        0.000      654.230     1062.711
       0.039        0.000      654.230     1062.711
       0.041        0.000      654.230     1062.711
       0.050        0.000      654.230     1062.711
       0.058        0.000      654.230     1062.711
       0.059        0.000      654.230     1062.711
       0.070        0.000      654.230     1062.711
       0.076        0.000      654.230     1062.711
       0.078        0.000      654.230     1062.711
       0.096        0.000      654.230     1062.711
       0.100        0.000      654.230     1062.711
       0.105        0.000      654.230     1062.711
       0.105        0.000      654.230     1062.711
       0.119        0.000      654.230     1062.711
       0.125        0.000      654.230     1062.711
       0.132        0.000      654.230     1062.711
       0.139        0.000      654.230     1062.711
       0.145        0.000      654.230     1062.711
       0.154       97.700      654.230     1062.711
       0.165        0.000      654.230     1062.711
       0.173      104.200      654.230     1062.711
       0.181        0.000      654.230     1062.711
       0.190       97.700      654.230     1062.711
       0.199        0.000      654.230     1062.711
       0.206        0.000      654.230     1062.711
       0.217      390.600      654.230     1062.711
       0.224        0.000      654.230     1062.711
       0.229        0.000      654.238     1062.711
       0.230       97.700      654.293     1062.711
       0.238        0.000      654.293     1062.711
       0.241        0.000      654.371     1062.773
       0.250      104.200      654.371     1062.773
       0.256        0.000      654.371     1062.773
       0.258        0.000      654.371     1062.773
       0.258        0.000      654.371     1062.773
       0.265        0.000      654.371     1062.773
       0.271        0.000      654.371     1062.773
       0.275        0.000      654.371     1062.773
       0.278        0.000      654.371     1062.773
       0.278        0.000      654.371     1062.773
       0.285        0.000      654.371     1062.773
       0.287        0.000      654.371     1062.773
       0.287        0.000      654.371     1062.773
       0.295        0.000      654.371     1062.773
       0.298        0.000      654.371     1062.773
       0.303        0.000      654.371     1062.773
       0.307        0.000      654.371     1062.773
       0.310        0.000      654.371     1062.773
       0.315        0.000      654.371     1062.773
       0.322        0.000      654.371     1062.773
       0.330        0.000      654.371     1062.773
       0.336        0.000      654.371     1062.773
       0.341        0.000      654.371     1062.773
       0.345        0.000      654.371     1062.773
       0.350        0.000      654.371     1062.773
       0.358        0.000      654.371     1062.773
       0.361       97.700      654.371     1062.773
       0.370        0.000      654.371     1062.773
       0.378      208.300      654.379     1062.773
       0.384        0.000      654.387     1062.773
       0.389      195.300      654.387     1062.773
       0.395        0.000      654.387     1062.773
       0.404      293.000      654.387     1062.773
       0.410        0.000      654.387     1062.773
       0.417        0.000      654.387     1062.773
       0.424      312.500      654.387     1062.773
       0.430        0.000      654.387     1062.773
       0.439      293.000      654.387     1062.773
       0.445        0.000      654.383     1062.773
       0.449      312.500      654.387     1062.773
       0.458        0.000      654.391     1062.773
       0.465        0.000      654.391     1062.773
       0.465      293.000      654.398     1062.773
       0.478        0.000      654.406     1062.773
       0.485        0.000      654.406     1062.773
       0.487      195.300      654.406     1062.773
       0.498      208.300      654.406     1062.773
       0.505        0.000      654.414     1062.773
       0.510        0.000      654.414     1062.773
       0.517        0.000      654.414     1062.773
       0.519       97.700      654.414     1062.773
       0.525        0.000      654.414     1062.773
       0.525       97.700      654.414     1062.773
       0.541        0.000      654.414     1062.773
       0.545      104.200      654.418     1062.773
       0.557        0.000      654.461     1062.840
       0.559        0.000      654.461     1062.840
       0.565        0.000      654.461     1062.840
       0.565        0.000      654.461     1062.840
       0.565        0.000      654.461     1062.840
       0.577        0.000      654.461     1062.840
       0.578        0.000      654.461     1062.840
       0.578        0.000      654.461     1062.840
       0.585        0.000      654.461     1062.840
       0.585        0.000      654.461     1062.840
       0.596        0.000      654.461     1062.840
       0.597        0.000      654.461     1062.840
       0.597        0.000      654.461     1062.840
       0.605        0.000      654.461     1062.840
       0.605        0.000      654.461     1062.840
       0.605        0.000      654.461     1062.840
       0.617        0.000      654.461     1062.840
       0.621        0.000      654.461     1062.840
       0.625        0.000      654.461     1062.840
       0.629        0.000      654.461     1062.840
       0.631        0.000      654.461     1062.840
       0.633        0.000      654.461     1062.840
       0.637        0.000      654.461     1062.840
       0.638        0.000      654.461     1062.840
       0.642        0.000      654.461     1062.840
       0.645        0.000      654.461     1062.840
