# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1013.938     1111.137
       0.101        0.000     1013.938     1111.137
       0.217        0.000     1013.938     1111.137
       0.317        0.000     1013.938     1111.137
       0.417        0.000     1013.938     1111.137
       0.518       16.600     1013.945     1111.137
       0.634       50.000     1013.945     1111.137
       0.734       16.600     1013.945     1111.137
       0.834       14.300     1013.945     1111.137
       0.935       16.600     1013.945     1111.137
       1.051        0.000     1013.945     1111.137
       1.151       16.800     1013.945     1111.137
       1.251        0.000     1013.945     1111.137
       1.352       56.800     1013.945     1111.137
       1.467      100.300     1013.988     1111.203
       1.581      275.000     1045.168     1160.008
       1.703      229.400     1030.859     1160.008
       1.824      250.000     1020.914     1123.051
       1.946      325.000     1019.660     1122.422
       2.068      287.500     1056.863     1160.008
       2.190      262.500     1039.914     1160.008
       2.312      255.700     1020.918     1123.051
       2.434      287.500     1020.805     1122.422
       2.556      275.000     1051.117     1152.379
       2.678      212.500     1056.418     1160.008
       2.800      250.000     1041.668     1160.008
       2.921      143.300     1027.801     1160.008
       3.043      275.000     1017.789     1121.480
       3.165      287.500     1019.664     1122.422
       3.287      250.000     1056.863     1160.008
       3.409      237.500     1048.742     1159.941
       3.530      272.400     1036.320     1159.941
       3.652      250.000     1022.527     1125.629
       3.773      312.500     1021.191     1122.355
       3.895      212.500     1025.113     1150.605
       4.010       71.000     1014.648     1115.809
       4.110        0.000     1014.648     1115.809
       4.210       14.300     1014.672     1115.809
       4.311        0.000     1014.672     1115.809
       4.411        0.000     1014.672     1115.809
       4.534        0.000     1014.672     1115.809
       4.635        0.000     1014.672     1115.809
       4.735        0.000     1014.672     1115.809
       4.835        0.000     1014.672     1115.809
       4.936        0.000     1014.672     1115.809
       5.037        0.000     1014.672     1115.809
       5.138        0.000     1014.672     1115.809
       5.238        0.000     1014.672     1115.809
       5.339        0.000     1014.672     1115.809
       5.440        0.000     1014.672     1115.809
       5.540        0.000     1014.672     1115.809
       5.641       16.600     1014.672     1115.809
       5.742       28.700     1014.766     1115.871
       5.842       33.200     1014.766     1115.871
       5.942        0.000     1014.766     1115.871
       6.044        0.000     1014.766     1115.871
       6.144        0.000     1014.766     1115.871
       6.245        0.000     1014.766     1115.871
       6.346        0.000     1014.766     1115.871
       6.446        0.000     1014.766     1115.871
       6.563        0.000     1014.766     1115.871
       6.679        0.000     1014.766     1115.871
